SimulationTime,Step,VehicleID,PositionX,PositionY,Speed,Heading,OriginalStep
0.0,0.0,veh1782,3864.258334708727,913.7639666113985,12.054163960306443,162.34564144995235,1986
0.0,0.0,veh1905,3401.319913315177,902.0983738444513,24.206368756825814,78.34834724672486,1986
0.0,0.0,veh1927,3365.6233775709693,894.7373843876442,23.64933108263686,78.34834724672486,1986
0.0,0.0,veh1971,2300.8244597351813,672.0071489811083,0.0,71.02473702844587,1986
0.0,0.0,veh1976,3085.2840581329015,988.0698288024203,11.929705820299715,68.80271237763863,1986
0.0,0.0,veh1979,2293.7319910533083,669.5684408291241,0.0,71.02473702844587,1986
0.0,0.0,veh2003,2286.6395385388582,667.1297382362236,0.0,71.10099775408375,1986
0.0,0.0,veh2018,3079.422963452054,836.5786960819062,0.0005058163553924237,78.66536524607322,1986
0.0,0.0,veh2022,3072.0634040172645,835.0734046908638,0.011832946865023267,77.99279961620907,1986
0.0,0.0,veh2027,2272.4355377899246,662.3078738698191,0.0,71.37091120167985,1986
0.0,0.0,veh2033,3064.6873053566196,833.5045976576287,0.12808863394824394,77.99279961620907,1986
0.0,0.0,veh2043,2265.3277701662873,659.9118278228405,0.0,71.37091120167817,1986
0.0,0.0,veh2059,2279.5433330966043,664.70392924882,0.0,71.37091120167817,1986
0.0,0.0,veh2110,2258.219954198932,657.5157654790746,0.0,71.37091120168107,1986
0.0,0.0,veh2128,3250.9627708133744,677.5386108173053,15.132430596547291,158.25051585134207,1986
0.0,0.0,veh2354,1562.0137227738207,425.67257924160833,31.80839461753432,248.4115849953598,1986
0.0,0.0,veh2415,2357.710809146621,706.1835831628018,0.0,257.53213094058117,1986
0.0,0.0,veh2462,1804.76408213274,515.9931448813105,0.0,250.56323440592067,1986
0.0,0.0,veh2484,380.5655185764586,608.9556782771018,0.07406334305072104,228.98661484040935,1986
0.0,0.0,veh2503,2306.421008420218,694.9502016840436,0.0,258.313300868062,1986
0.0,0.0,veh2513,1792.03607624947,733.0302320373188,26.68352635827425,359.18619422623004,1986
0.0,0.0,veh2518,2335.7387844051,701.3254282454851,0.0,257.53213094058117,1986
0.0,0.0,veh2528,2114.399321297645,1169.1205357421172,13.970693466099195,254.4266715509994,1986
0.0,0.0,veh2539,2321.090749154566,698.0866541534946,0.0,257.53213094058117,1986
0.0,0.0,veh2547,2294.7219747644162,1865.411112749169,0.0,290.137457305592,1986
0.0,0.0,veh2549,2343.062773938734,702.9448090802409,0.0,257.53213094058117,1986
0.0,0.0,veh2551,2328.414742828529,699.7060359037038,0.0,257.53213094058117,1986
0.0,0.0,veh2567,1606.2119141394207,443.13506160354757,28.28086418266895,249.21972974609636,1986
