SimulationTime,Step,VehicleID,PositionX,PositionY,Speed,Heading,OriginalStep
0.0,0.0,veh2567,232.51635619530157,400.4867494209492,23.513764740481967,227.83661768879148,1940
0.0,0.0,veh2576,4800.766705654283,3060.1721484495474,18.76453843596274,69.51704550529581,1940
0.0,0.0,veh2581,338.3147984317046,496.2957817119758,25.65426927909586,227.8366176887914,1940
0.0,0.0,veh2593,50.661712660577045,230.48938138904032,25.55020789546073,227.24398437946166,1940
0.0,0.0,veh2594,4269.15507499408,2861.5909472148696,18.19187289591149,69.51704550530069,1940
0.0,0.0,veh2596,4750.693301558867,3041.467447194557,19.415930593649566,69.51704550530069,1940
0.0,0.0,veh2600,4480.045169346799,2940.368020269213,18.520200317170694,69.51704550529945,1940
0.0,0.0,veh2604,4129.17381632222,2809.3015598234037,16.764712307008466,69.51704550529945,1940
0.0,0.0,veh2607,126.1769699874501,304.1878486844844,26.399882784262495,227.8366176887913,1940
0.0,0.0,veh2612,4895.226118513359,3100.465755690332,23.28977944153874,69.53524790941485,1940
0.0,0.0,veh2618,459.645775505107,606.170778494562,25.568604513333582,227.83661768879088,1940
0.0,0.0,veh2620,234.06482681324542,393.2479832572145,27.07472417299124,227.83635535128113,1940
0.0,0.0,veh2628,569.972607943699,706.0806337649898,21.30617572103859,227.8366176887914,1940
0.0,0.0,veh2636,883.4558916352158,989.9650598020617,23.863837224497953,227.83661768878966,1940
0.0,0.0,veh2641,4862.508142360703,3088.255941895749,23.815785274693393,69.53524790940997,1940
0.0,0.0,veh2646,755.9664239677903,874.5130525104897,25.414350304831043,227.8366176887914,1940
0.0,0.0,veh2648,970.8942280055437,1069.148991782071,22.523675489767378,227.8321807756659,1940
0.0,0.0,veh2655,4940.010443153751,3112.186038030388,24.522307937396278,69.51704550529945,1940
0.0,0.0,veh2657,185.69097751123354,349.44115357374926,29.74202612420534,227.83635535128028,1940
0.0,0.0,veh2658,4867.810731922762,3093.652747317511,26.371679641589644,69.5352479094157,1940
0.0,0.0,veh2659,4483.081135604003,2944.922241490787,22.30893890338206,69.51723463154411,1940
0.0,0.0,veh2662,181.6720077207484,354.443086377879,25.85575018068028,227.8366176887913,1940
0.0,0.0,veh2664,654.9533291877102,783.0375387408623,26.386574994563315,227.8366176887914,1940
0.0,0.0,veh2667,3929.2177193727603,2734.608833712222,19.366312617391525,69.51704550530069,1940
0.0,0.0,veh2668,944.4933660869855,1045.239421475982,21.541076126796714,227.8366176887904,1940
0.0,0.0,veh2669,4411.4886550184165,2918.179452554075,22.257517464788826,69.51723463154411,1940
0.0,0.0,veh2673,4122.97672271405,2810.4081664046194,21.405914018193616,69.51723463153559,1940
0.0,0.0,veh2675,4376.687687286817,2906.9556907318292,24.54275039507119,69.53524790941485,1940
0.0,0.0,veh2676,362.7880174194835,514.1319175989574,25.68998404299805,227.83665224689372,1940
0.0,0.0,veh2678,620.6063792952277,743.2957921351449,29.209299955151177,227.836355351282,1940
0.0,0.0,veh2679,4417.168254345917,2922.0623765422415,25.01590993210581,69.53524790941849,1940
0.0,0.0,veh2681,4470.965295200215,2942.1385526622375,26.607514443519573,69.53524790941849,1940
0.0,0.0,veh2682,272.96205029822465,437.1135912763449,26.52010579926014,227.8366176887913,1940
0.0,0.0,veh2685,207.34994024641037,373.3703582870678,28.045419136601666,227.8366522468939,1940
0.0,0.0,veh2686,4822.236246789339,3080.053836164883,28.494564279613133,69.53554701314668,1940
0.0,0.0,veh2690,4378.231626299221,2905.756559920311,23.655887048724495,69.51723463153924,1940
0.0,0.0,veh2693,4174.565123345724,2831.526854367081,25.251814989355307,69.53524790941609,1940
0.0,0.0,veh2696,4593.906092382381,2988.0180482137976,27.69632782655901,69.53524790940997,1940
0.0,0.0,veh2697,4414.160260779251,2924.357808209934,26.69432745778791,69.5352479094157,1940
0.0,0.0,veh2698,3300.6496689973083,2499.809985639087,18.02486878988218,69.51704550530252,1940
0.0,0.0,veh2700,3739.087498997603,2669.013724576006,22.94255959479227,69.5352479094118,1940
0.0,0.0,veh2701,1599.056230027922,1648.4159644845577,24.407952334699004,226.42748622308224,1940
0.0,0.0,veh2702,4251.099863150372,2860.088367997127,27.124617932793438,69.5352479094112,1940
0.0,0.0,veh2704,302.32161964727015,459.37477834978404,28.927030532269384,227.8366522468939,1940
0.0,0.0,veh2705,654.794904039964,778.5674113856076,25.920524866413515,227.8366522468949,1940
0.0,0.0,veh2706,3918.143421599966,2735.834467509234,24.75402884708656,69.53524790941485,1940
0.0,0.0,veh2708,3676.017164906166,2645.47690702881,23.59351725272012,69.53524790941485,1940
0.0,0.0,veh2712,1302.926148385356,1369.8775074099779,22.59006254887518,227.83218077566767,1940
0.0,0.0,veh2713,899.0182422313106,999.7310961749622,30.05059354295021,227.8366522468939,1940
0.0,0.0,veh2714,4137.863528575305,2817.8304192324567,25.909087371336554,69.53524790940997,1940
0.0,0.0,veh2715,3404.463470630921,2538.589177523093,20.754209685718305,69.51704550530252,1940
0.0,0.0,veh2716,61.130100278227815,235.81169024064843,32.12650759980692,227.24433579658972,1940
0.0,0.0,veh2717,3683.902666336123,2642.9724677951226,23.3736839115696,69.51704550530434,1940
0.0,0.0,veh2718,1259.461143715274,1326.1922408127332,28.62027477725842,227.83120150731506,1940
0.0,0.0,veh2719,689.6000855946892,801.4590271216887,35.649197547616424,227.83638990725203,1940
0.0,0.0,veh2720,3587.1998025848625,2606.8495356788517,22.844522852103157,69.51704550530069,1940
0.0,0.0,veh2721,1002.4522337943547,1093.4056975961382,24.152978458979746,227.83120150731702,1940
0.0,0.0,veh2724,4237.957306848283,2858.601746541739,28.391388334379677,69.53524790941083,1940
0.0,0.0,veh2725,1311.3487008253082,1373.1895416429463,28.144726020828205,227.83120150731685,1940
0.0,0.0,veh2726,1514.311657038989,1567.7922841748202,26.497836478992983,226.42748622308224,1940
0.0,0.0,veh2728,3919.6802490078626,2739.825952061439,27.456266863361503,69.53524790941388,1940
0.0,0.0,veh2729,856.9545838702514,961.6391032157815,27.16583219546397,227.8366522468939,1940
0.0,0.0,veh2730,3703.7527885359646,2653.810474897898,25.270327534851695,69.5172346315374,1940
0.0,0.0,veh2731,2751.9082877693663,2294.8300409450767,17.389787971059963,69.51704550530252,1940
0.0,0.0,veh2732,1404.7187804301489,1454.6918981316796,28.90526109750539,226.4260880338152,1940
0.0,0.0,veh2733,1853.09200670142,1882.5393957083927,19.194728257815747,228.4215462322436,1940
0.0,0.0,veh2734,1638.133470749524,1685.5929877700078,27.22644740837568,226.42857724984972,1940
0.0,0.0,veh2735,1097.5025683941894,1183.8209131673293,25.885786028828942,227.8321807756659,1940
0.0,0.0,veh2736,4611.261933388805,3001.3229263570515,34.585325734772525,69.53554701314303,1940
0.0,0.0,veh2737,3103.467989645386,2426.153631095926,19.62019589973436,69.51704550530252,1940
0.0,0.0,veh2739,3624.6032679984123,2624.244815140554,25.10324323308784,69.5172346315423,1940
0.0,0.0,veh2740,3870.168575532256,2721.3490049857783,27.88933456442095,69.53524790941083,1940
0.0,0.0,veh2742,3045.5001969156897,2410.178282885038,22.96014542844983,69.53524790941485,1940
0.0,0.0,veh2744,780.7984116552124,888.3639473367228,28.809017976418357,227.83635535128113,1940
0.0,0.0,veh2745,3431.717574336633,2554.308293877758,25.000057855274292,69.53524790941667,1940
0.0,0.0,veh2747,1411.586489967249,1470.0623560195636,24.919206257629078,226.427486223084,1940
0.0,0.0,veh2748,1604.1443392223455,1648.8353410053326,29.289601477670296,226.42844698292348,1940
0.0,0.0,veh2752,3134.831731735632,2441.2946405642356,23.25693758496621,69.51723463153559,1940
0.0,0.0,veh2753,1370.675913011168,1426.9253309884332,25.431789099650732,227.83120150731685,1940
